	ckiptagger	pkuseg	fastHan	PyNLPIR	stanza	spacy	ltp	jiagu	lac	snownlp	target	char	sent
67	COMMACATEGORY	w	PU	wd	PUNCT	PUNCT	wp	w	w	w	PU	，	1
68	D	v	VV	v	VERB	VERB	v	vu	v	v	VV	要	1
69	P	v	VV	v	VERB	VERB	v	v	v	v	VV	到	1
70	Neu	ns	OD	m	NUM	NOUN	m	ns	m	m	OD	二	1
71	Neu	ns	NN	n	NOUN	NOUN	m	ns	m	n	NN	楼	1
72	VJ	v	VV	v	VERB	VERB	v	n	v	v	VV	剩	1
73	VJ	v	VV	v	VERB	VERB	v	n	v	v	VV	下	1
74	FW	v	VV	vf	VERB	VERB	v	n	v	v	VV	来	1
75	DE	u	DEC	ude1	PART	PART	u	u	u	u	DEC	的	1
76	Neqa	n	NN	n	NOUN	NOUN	n	n	n	n	NN	部	1
77	Neqa	n	NN	n	NOUN	NOUN	n	n	n	n	NN	分	1
78	D	v	VV	vf	ADV	VERB	v	v	v	v	VV	去	1
79	D	v	AD	d	ADV	ADV	d	d	d	d	AD	就	1
80	D	u	VV	ude3	VERB	VERB	d	vu	v	v	VV	得	1
81	VA	v	VV	v	VERB	VERB	v	v	v	v	VV	爬	1
82	Na	n	JJ	ng	NOUN	NOUN	v	a	n	j	JJ	单	1
83	Na	n	NN	ng	NOUN	NOUN	v	n	n	j	NN	梯	1
84	PERIODCATEGORY	w	PU	wj	PUNCT	PUNCT	wp	w	w	w	PU	。	1
85	Nb	nr	NR	nrf	PROPN	PROPN	nh	nh	ORG	j	NR	洛	1
86	Nb	nr	NR	nrf	PROPN	PROPN	nh	m	ORG	nz	NR	什	1
87	Nb	nr	NR	nrf	PROPN	PROPN	nh	n	ORG	nz	NR	卡	1
88	Nb	nr	NR	nrf	PROPN	PROPN	nh	v	ORG	nx	NR	列	1
89	Nb	nr	NR	nrf	PROPN	PROPN	nh	n	ORG	nx	NR	夫	1
90	Nb	p	P	p	ADP	ADP	p	p	ORG	p	P	从	1
91	Nb	n	NN	n	NOUN	NOUN	n	n	ORG	n	NN	军	1
92	Nb	n	NN	n	NOUN	NOUN	n	n	ORG	n	NN	队	1
93	Nb	n	NN	n	NOUN	NOUN	n	n	ORG	n	NN	医	1
94	Nc	n	NN	n	NOUN	NOUN	n	n	ORG	n	NN	院	1
95	VA	v	VV	v	VERB	VERB	v	vd	v	v	VV	回	1
96	VA	v	VV	v	VERB	VERB	v	vd	v	v	VV	来	1
97	DE	f	LC	f	ADP	PART	nd	nt	f	f	LC	之	1
98	Na	f	LC	f	ADP	PART	nd	nt	f	f	LC	后	1
99	P	p	BA	pba	ADP	X	p	p	p	p	BA	把	1
100	Na	r	DT	rzv	DET	PRON	r	r	r	Rg	DT	这	1
101	Na	n	NN	n	NOUN	ADV	n	n	n	Rg	NN	梯	1
102	Na	n	NN	n	NOUN	ADV	n	n	n	Ng	NN	子	1
103	Na	v	VV	p	VERB	VERB	v	p	u	v	VV	给	1
104	VC	v	VV	v	VERB	VERB	v	v	v	v	VV	加	1
105	VC	v	VV	v	VERB	VERB	v	v	v	v	VV	固	1
106	Di	y	AS	y	PART	PART	u	u	u	y	AS	了	1
107	PERIODCATEGORY	w	PU	wj	PUNCT	PUNCT	wp	w	w	w	PU	。	1
108	Na	f	NN	f	NOUN	NOUN	nd	nl	f	f	NN	脚	2
109	Ng	f	LC	f	NOUN	NOUN	nd	nl	f	f	LC	下	2
110	DE	u	DEG	ude1	PART	PART	u	u	u	u	DEG	的	2
111	Nc	n	NN	n	NOUN	NOUN	n	nl	n	n	NN	路	2
112	Nc	n	NN	n	NOUN	NOUN	n	nl	n	n	NN	面	2
113	D	d	AD	d	ADV	ADV	d	a	d	d	AD	微	2
114	D	d	AD	d	ADV	ADV	d	a	d	d	AD	微	2
115	VH	v	VV	vi	VERB	VERB	v	v	v	v	VV	发	2
116	VH	v	VV	vi	VERB	VERB	v	v	v	v	VV	亮	2
117	PERIODCATEGORY	w	PU	wj	PUNCT	PUNCT	wp	w	w	w	PU	。	2
118	FW	r	DT	rzv	DET	DET	r	r	r	r	DT	这	3
119	Neqa	n	CD	m	NOUN	NUM	r	n	n	n	CD	部	3
120	Neqa	n	CD	m	NOUN	NUM	r	n	n	n	CD	分	3
121	Nc	s	NN	s	NOUN	NOUN	nl	n	s	s	NN	城	3
122	Nc	s	NN	s	NOUN	NOUN	nl	n	s	s	NN	郊	3
123	FW	t	NT	t	NOUN	NOUN	nt	nt	TIME	t	NT	当	3
124	FW	t	NT	t	NOUN	NOUN	nt	nt	TIME	t	NT	时	3
125	FW	d	AD	d	ADV	ADV	d	d	d	d	AD	还	3
126	Dfa	d	AD	d	ADV	ADV	d	d	d	d	AD	很	3
127	VH	a	VA	a	ADJ	VERB	a	a	a	a	VA	偏	3
128	VH	a	VA	a	ADJ	VERB	a	a	a	a	VA	僻	3
129	COMMACATEGORY	w	PU	wd	PUNCT	PUNCT	wp	w	w	w	PU	，	3
130	FW	d	VE	v	VERB	VERB	v	v	v	v	VE	没	3
131	V_2	d	VE	v	VERB	VERB	v	v	v	v	VE	有	3
132	Neqa	a	CD	ry	NUM	NUM	r	r	r	r	CD	多	3
133	Neqa	a	CD	ry	PART	NUM	r	r	r	r	CD	少	3
134	Na	n	NN	n	NOUN	NOUN	n	n	n	n	NN	房	3
135	Na	n	NN	n	NOUN	NOUN	n	n	n	n	NN	屋	3
136	COMMACATEGORY	w	PU	wd	PUNCT	PUNCT	wp	w	w	w	PU	，	3
137	Neqa	v	AD	qv	NOUN	ADV	v	n	n	vd	AD	遍	3
138	Na	v	AD	n	NOUN	ADV	v	n	n	vd	AD	地	3
139	SHI	v	VC	vshi	AUX	VERB	v	vl	v	v	VC	是	3
140	Na	n	NN	n	NOUN	NOUN	n	n	n	y	NN	杂	3
141	Na	n	NN	n	NOUN	NOUN	n	n	n	y	NN	草	3
142	PERIODCATEGORY	w	PU	wj	PUNCT	PUNCT	wp	w	w	w	PU	。	3
143	Nh	r	PN	rr	PRON	PRON	r	r	r	r	PN	她	4
144	DE	u	DEG	ude1	PART	PART	u	u	u	u	DEG	的	4
145	Na	n	NN	n	NOUN	NOUN	n	n	n	nr	NN	瞳	4
146	Na	n	NN	n	NOUN	NOUN	n	n	n	nr	NN	孔	4
147	FW	v	VV	v	VERB	VERB	v	v	v	v	VV	睁	4
148	DE	u	DER	ude3	VERB	PART	u	u	u	u	DER	得	4
149	Na	r	AD	rz	ADV	ADV	r	r	d	r	AD	这	4
150	Na	r	AD	rz	ADV	ADV	r	r	d	r	AD	么	4
151	VH	a	VA	a	ADJ	VERB	a	a	a	a	VA	大	4
152	COMMACATEGORY	w	PU	wd	PUNCT	PUNCT	wp	w	w	w	PU	，	4
153	VH	d	AD	d	ADV	ADV	d	d	d	d	AD	几	4
154	VH	d	AD	d	ADV	ADV	d	d	d	d	AD	乎	4
155	Caa	p	P	cc	ADP	ADP	p	c	p	c	P	和	4
156	Na	n	JJ	n	NOUN	NOUN	n	n	n	n	JJ	黑	4
157	Na	n	JJ	n	NOUN	NOUN	n	n	n	n	JJ	色	4
158	DE	u	DEG	ude1	PART	PART	u	u	u	u	DEG	的	4
159	Na	n	NN	n	NOUN	ADJ	n	n	n	m	NN	虹	4
160	Na	n	NN	n	NOUN	ADJ	n	n	n	m	NN	膜	4
161	Na	v	NN	qv	PART	NOUN	n	n	n	q	NN	圈	4
162	Na	v	VV	v	VERB	NOUN	n	v	v	v	VV	合	4
163	VH	p	AD	p	VERB	ADV	p	v	v	p	AD	在	4
164	VH	s	AD	s	NOUN	ADV	nl	v	v	s	AD	一	4
165	VH	s	AD	s	NOUN	ADV	nl	v	v	s	AD	起	4
166	T	y	SP	y	PART	PART	u	u	xc	y	SP	了	4
167	COMMACATEGORY	w	PU	wd	PUNCT	PUNCT	wp	w	w	w	PU	，	4
168	Cbb	c	CC	c	ADV	ADV	c	c	c	c	CC	而	4
169	Cbb	c	CC	c	ADV	ADV	c	c	c	c	CC	且	4
170	Na	n	NN	n	NOUN	NOUN	n	n	n	n	NN	眼	4
171	Na	n	NN	n	NOUN	NOUN	n	n	n	n	NN	睛	4
172	FW	v	VV	v	VERB	VERB	v	v	v	v	VV	显	4
173	DE	v	VV	v	VERB	VERB	v	v	v	v	VV	得	4
174	D	c	AD	d	AUX	ADV	d	vl	v	d	AD	不	4
175	SHI	c	VC	vshi	AUX	ADV	d	vl	v	v	VC	是	4
176	Na	n	JJ	n	NOUN	VERB	n	n	n	n	JJ	灰	4
177	Na	n	JJ	n	NOUN	VERB	n	n	n	n	JJ	色	4
178	T	u	DEG	ude1	PART	PART	u	u	u	u	DEG	的	4
179	COMMACATEGORY	w	PU	wd	PUNCT	PUNCT	wp	w	w	w	PU	，	4
180	Cbb	c	CC	c	AUX	ADV	c	vl	c	c	CC	而	4
181	Cbb	c	VC	c	AUX	ADV	c	vl	c	c	VC	是	4
182	Na	n	JJ	n	NOUN	NOUN	n	n	n	n	JJ	黑	4
183	Na	n	JJ	n	NOUN	NOUN	n	n	n	n	JJ	色	4
184	T	u	DEG	ude1	PART	PART	u	u	u	u	DEG	的	4
185	PERIODCATEGORY	w	PU	wj	PUNCT	PUNCT	wp	w	w	w	PU	。	4
186	Na	n	NN	n	NOUN	NOUN	n	n	n	n	NN	将	5
187	Na	n	NN	n	NOUN	NOUN	n	n	n	n	NN	军	5
188	VA	a	VV	n	VERB	VERB	n	v	v	n	VV	气	5
189	VC	a	VV	a	VERB	VERB	n	v	v	a	VV	坏	5
190	Di	y	AS	y	PART	PART	u	u	xc	y	AS	了	5
191	COMMACATEGORY	w	PU	wd	PUNCT	PUNCT	wp	w	w	w	PU	，	5
192	Na	n	NN	n	NOUN	NOUN	n	n	n	n	NN	内	5
193	Na	n	NN	n	NOUN	NOUN	n	n	n	n	NN	心	5
194	VH	m	CD	m	NUM	NUM	m	d	m	m	CD	一	5
195	VH	q	M	q	NOUN	NUM	q	d	m	q	M	种	5
196	VH	a	VA	z	ADJ	ADJ	z	a	a	z	VA	不	5
197	VH	a	VA	z	ADJ	ADJ	z	a	a	z	VA	祥	5
198	DE	u	DEC	ude1	PART	PART	u	u	u	u	DEC	的	5
199	Na	n	NN	n	NOUN	NOUN	v	v	n	n	NN	预	5
200	Na	n	NN	n	NOUN	NOUN	v	v	n	n	NN	感	5
201	Na	d	AD	d	ADV	ADV	d	d	d	d	AD	随	5
202	VG	d	AD	d	ADV	ADV	d	d	d	d	AD	即	5
203	FW	v	VV	v	VERB	VERB	v	v	v	v	VV	闪	5
204	FW	v	VV	v	VERB	VERB	v	v	v	v	VV	现	5
205	COMMACATEGORY	w	PU	wd	PUNCT	PUNCT	wp	w	w	w	PU	，	5
206	Na	t	AD	t	NOUN	NOUN	nt	nt	TIME	t	AD	瞬	5
207	Na	t	AD	t	NOUN	NOUN	nt	nt	TIME	t	AD	间	5
208	D	d	AD	d	ADV	ADV	d	d	d	d	AD	又	5
209	VA	v	VV	vi	VERB	VERB	v	v	v	vn	VV	消	5
210	VA	v	VV	vi	VERB	VERB	v	v	v	vn	VV	逝	5
211	PERIODCATEGORY	w	PU	wj	PUNCT	PUNCT	wp	w	w	w	PU	。	5
212	Nb	nr	NR	nrf	PROPN	PROPN	nh	nh	PER	Dg	NR	玛	6
213	Nb	nr	NR	nrf	PROPN	PROPN	nh	nh	PER	Dg	NR	莎	6
214	SHI	v	VC	vshi	AUX	VERB	v	vl	v	v	VC	是	6
215	Na	n	NN	n	NOUN	NOUN	n	nt	n	n	NN	年	6
216	Na	n	NN	n	NOUN	NOUN	n	nt	n	n	NN	纪	6
217	Dfa	d	AD	d	ADJ	ADV	d	a	a	d	AD	最	6
218	VH	a	VA	a	ADJ	VERB	a	a	a	a	VA	小	6
219	T	u	DEC	ude1	PART	PART	u	u	u	u	DEC	的	6
220	COMMACATEGORY	w	PU	wd	PUNCT	PUNCT	wp	w	w	w	PU	，	6
221	Cbb	c	AD	c	ADV	ADV	c	c	c	c	AD	所	6
222	Cbb	c	AD	c	ADV	ADV	c	c	c	c	AD	以	6
223	Neu	m	OD	m	NUM	NUM	m	mq	m	m	OD	第	6
224	Neu	m	OD	m	NUM	NUM	m	mq	m	m	OD	一	6
225	FW	q	M	q	NOUN	NUM	q	mq	m	q	M	个	6
226	FW	v	VV	v	VERB	VERB	v	v	v	q	VV	读	6
227	Di	u	AS	ule	PART	PART	u	u	u	u	AS	了	6
228	Nh	r	PN	rr	PRON	PRON	r	r	r	r	PN	自	6
229	Nh	r	PN	rr	PRON	PRON	r	r	r	r	PN	己	6
230	DE	u	DEG	ude1	PART	PART	u	u	u	u	DEG	的	6
231	Na	n	NN	n	NOUN	NOUN	n	n	n	n	NN	诗	6
232	PERIODCATEGORY	w	PU	wj	PUNCT	PUNCT	wp	w	w	w	PU	。	6
233	FW	n	NN	vf	NOUN	ADV	n	vd	n	n	NN	来	7
234	Na	n	NN	n	NOUN	ADV	n	n	n	n	NN	人	7
235	Na	d	AD	cc	ADV	ADV	d	d	d	c	AD	并	7
236	D	d	AD	d	ADJ	ADV	d	d	d	d	AD	不	7
237	VH	a	VA	a	ADJ	VERB	a	a	a	a	VA	多	7
238	COMMACATEGORY	w	PU	wd	PUNCT	PUNCT	wp	w	w	w	PU	，	7
239	D	ad	AD	ad	ADV	ADV	a	a	ad	a	AD	一	7
240	D	ad	AD	ad	ADV	ADV	a	a	ad	a	AD	般	7
241	P	p	P	p	ADP	ADP	p	p	p	p	P	在	7
242	Na	r	DT	r	DET	DET	r	r	r	r	DT	这	7
243	Na	r	M	r	NOUN	DET	r	r	r	r	M	种	7
244	Na	n	NN	n	NOUN	NOUN	n	n	n	n	NN	情	7
245	Na	n	NN	n	NOUN	NOUN	n	n	n	n	NN	况	7
246	Ncd	f	LC	f	ADP	PART	nd	nd	f	Dg	LC	下	7
247	FW	v	VV	v	AUX	VERB	v	vu	v	Dg	VV	会	7
248	FW	v	VV	v	VERB	VERB	v	v	v	v	VV	说	7
249	COLONCATEGORY	w	PU	wp	PUNCT	PUNCT	wp	w	w	k	PU	：	7
250	PARENTHESISCATEGORY	w	PU	wyz	PUNCT	PUNCT	wp	w	w	k	PU	“	7
251	D	d	AD	d	AUX	ADV	d	d	v	d	PN	都	7
252	SHI	v	VC	vshi	AUX	VERB	v	vl	v	v	VC	是	7
253	Na	n	NN	rr	PRON	NOUN	r	r	n	r	NN	自	7
254	Na	n	NN	rr	PRON	NOUN	r	r	n	r	NN	己	7
255	Na	n	NN	n	PART	NOUN	r	n	n	n	NN	人	7
256	PERIODCATEGORY	w	PU	wj	PUNCT	PUNCT	wp	w	w	d	PU	。	7
257	VA	w	PU	wyy	PUNCT	PUNCT	wp	w	w	d	PU	”	7
258	VA	v	AD	v	ADV	ADV	v	v	v	v	AD	还	7
259	V_2	v	VE	v	VERB	ADV	v	v	v	v	VE	有	7
260	Na	m	CD	mq	NUM	ADV	m	mq	m	m	CD	一	7
261	Na	m	M	mq	NOUN	ADV	m	mq	m	m	M	个	7
262	Na	n	VV	vi	NOUN	VERB	v	v	v	v	VV	当	7
263	Na	n	VV	vi	NOUN	VERB	v	v	v	v	VV	班	7
264	DE	u	DEC	ude1	PART	PART	u	u	u	u	DEC	的	7
265	VB	n	NN	n	VERB	NOUN	n	v	n	v	NN	告	7
266	VB	n	NN	n	VERB	NOUN	n	v	n	v	NN	密	7
267	Na	n	NN	n	PART	NOUN	n	v	n	k	NN	者	7
268	COMMACATEGORY	w	PU	wd	PUNCT	PUNCT	wp	w	w	w	PU	，	7
269	VG	v	VV	vi	VERB	VERB	v	v	v	v	VV	兼	7
270	FW	v	VV	vi	VERB	VERB	v	v	v	v	VV	职	7
271	DE	u	DEC	ude1	PART	PART	u	u	u	u	DEC	的	7
272	FW	n	NN	b	NOUN	NOUN	b	n	n	b	NN	总	7
273	FW	n	NN	b	NOUN	NOUN	b	n	n	b	NN	务	7
274	Na	n	NN	n	NOUN	NOUN	b	n	n	n	NN	主	7
275	Na	n	NN	n	NOUN	NOUN	b	n	n	n	NN	任	7
276	PERIODCATEGORY	w	PU	wj	PUNCT	PUNCT	wp	w	w	w	PU	。	7
277	Na	d	AD	d	ADV	ADV	d	d	d	d	AD	原	8
278	Na	d	AD	d	ADV	ADV	d	d	d	d	AD	来	8
279	D	v	AD	v	ADV	ADV	v	vl	v	v	AD	正	8
280	SHI	v	VC	v	AUX	ADV	v	vl	v	v	VC	是	8
281	FW	r	PN	rzv	PRON	VERB	r	r	r	r	PN	这	8
282	FW	r	PN	rzv	PRON	VERB	r	r	r	r	PN	样	8
283	PERIODCATEGORY	w	PU	wj	PUNCT	PUNCT	wp	w	w	w	PU	。	8
284	Na	n	JJ	n	NOUN	ADV	n	n	n	h	JJ	浅	8
285	Na	n	JJ	n	NOUN	ADV	n	n	n	h	JJ	色	8
286	Neqa	i	NN	vn	VERB	VERB	v	n	n	vn	NN	卷	8
287	Neqa	i	NN	vn	VERB	VERB	v	n	n	vn	NN	发	8
288	DE	u	DEC	ude1	PART	PART	u	u	u	u	DEC	的	8
289	Na	n	NN	n	ADJ	NOUN	n	n	n	n	JJ	年	8
290	Na	n	NN	n	ADJ	NOUN	n	n	n	n	JJ	轻	8
291	Na	n	NN	n	PART	NOUN	n	n	n	n	NN	人	8
292	D	d	AD	d	ADV	ADV	d	d	d	d	AD	立	8
293	D	d	AD	d	ADV	ADV	d	d	d	d	AD	即	8
294	FW	d	AD	d	ADV	ADV	d	a	d	d	AD	异	8
295	D	d	AD	d	ADV	ADV	d	a	d	d	AD	常	8
296	VH	a	VA	a	ADJ	VERB	a	a	a	a	VA	急	8
297	VH	a	VA	a	ADJ	VERB	a	a	a	a	VA	促	8
298	DE	u	DEV	ude2	PART	PART	u	u	u	u	DEV	地	8
299	VC	v	VV	v	VERB	VERB	v	v	v	v	VV	承	8
300	VC	v	VV	v	VERB	VERB	v	v	v	v	VV	认	8
301	Di	u	AS	ule	PART	PART	u	u	u	u	AS	了	8
302	FW	r	DT	rzv	DET	DET	r	r	r	r	DT	这	8
303	Neu	m	CD	mq	NUM	NUM	m	mq	r	m	CD	一	8
304	VA	m	M	mq	NOUN	NUM	m	mq	r	m	M	点	8
305	PERIODCATEGORY	w	PU	wj	PUNCT	PUNCT	wp	w	w	w	PU	。	8
306	VG	w	PU	wyz	PUNCT	PUNCT	wp	w	w	w	PU	“	9
307	Nh	r	PN	rr	PRON	PRON	r	r	r	r	PN	您	9
308	DE	u	DEG	ude1	PART	PART	u	u	u	u	DEG	的	9
309	Na	n	NN	n	NOUN	NOUN	n	n	n	n	NN	包	9
310	Na	n	NN	n	NOUN	NOUN	n	n	n	n	NN	裹	9
311	Na	d	AD	d	ADV	ADV	d	d	d	d	AD	总	9
312	SHI	d	AD	d	VERB	ADV	d	d	d	d	AD	是	9
313	V_2	d	VE	vyou	VERB	ADV	v	v	d	d	VE	有	9
314	FW	d	M	qt	VERB	ADV	v	v	d	d	M	点	9
315	VC	v	NN	n	VERB	VERB	n	n	n	a	NN	用	9
316	FW	v	NN	n	PART	VERB	n	n	n	a	NN	处	9
317	T	u	SP	ude1	PART	PART	u	u	u	u	SP	的	9
318	COMMACATEGORY	w	PU	wd	PUNCT	PUNCT	wp	w	w	Tg	PU	，	9
319	Nb	w	PU	wyy	PUNCT	PUNCT	wp	w	w	Tg	PU	”	9
320	Nb	p	P	p	ADP	ADP	p	p	p	p	P	当	9
321	Nh	r	PN	rr	PRON	PRON	r	n	r	r	PN	大	9
322	Nh	r	PN	rr	PRON	PRON	r	n	r	r	PN	家	9
323	FW	v	VV	ad	ADJ	VERB	v	v	v	o	VV	畅	9
324	VA	v	VV	v	ADJ	VERB	v	v	v	o	VV	笑	9
325	Neu	m	AD	m	NUM	NUM	v	mq	m	m	AD	一	9
326	VA	m	AD	qv	NOUN	NOUN	v	mq	m	v	AD	通	9
327	VA	f	LC	f	ADP	NOUN	nd	nd	f	f	LC	后	9
328	PARENTHESISCATEGORY	w	PU	wkz	PUNCT	PUNCT	wp	w	w	w	PU	（	9
329	VH	v	VV	v	VERB	VERB	v	v	v	v	VV	值	9
330	VH	v	VV	v	VERB	VERB	v	v	v	v	VV	得	9
331	VK	v	NN	v	VERB	NOUN	v	v	v	v	NN	注	9
332	VK	v	NN	v	VERB	NOUN	v	v	v	v	NN	意	9
333	DE	u	DEC	ude1	PART	PART	u	u	u	u	DEC	的	9
334	SHI	v	VC	vshi	VERB	VERB	v	vl	v	v	VC	是	9
335	Na	n	NN	n	VERB	NOUN	n	n	n	n	NN	包	9
336	Na	n	NN	n	VERB	NOUN	n	n	n	n	NN	裹	9
337	COMMACATEGORY	w	PU	wd	PUNCT	PUNCT	wp	w	w	w	PU	，	9
338	Neqa	n	NN	n	DET	NOUN	n	n	n	n	NN	所	9
339	Neqa	n	NN	n	DET	NOUN	n	n	n	n	NN	有	9
340	Na	n	NN	n	NOUN	NOUN	n	n	n	n	NN	者	9
341	Nh	r	PN	rr	PRON	PRON	r	n	r	r	PN	本	9
342	Nh	r	PN	rr	PRON	PRON	r	n	r	r	PN	人	9
343	VH	d	AD	d	NUM	ADV	d	d	d	d	AD	一	9
344	VH	d	AD	d	VERB	ADV	d	d	d	d	AD	边	9
345	VC	v	VV	v	VERB	VERB	v	v	v	v	VV	望	9
346	VC	u	AS	uzhe	PART	PART	u	u	u	u	AS	着	9
347	Nh	r	PN	rr	PRON	PRON	r	r	r	r	PN	他	9
348	FW	r	PN	rr	PRON	PRON	r	r	r	r	PN	们	9
349	COMMACATEGORY	w	PU	wd	PUNCT	PUNCT	wp	w	w	w	PU	，	9
350	D	d	AD	d	NUM	ADV	d	d	d	d	AD	一	9
351	D	d	AD	d	NOUN	ADV	d	d	d	d	AD	边	9
352	D	d	AD	d	ADV	ADV	d	d	d	d	AD	终	9
353	D	d	AD	d	ADV	ADV	d	d	d	d	AD	于	9
354	D	d	AD	d	ADV	ADV	d	d	d	d	AD	也	9
355	VA	v	VV	v	VERB	VERB	v	v	v	v	VV	笑	9
356	Di	u	AS	ule	PART	PART	u	u	u	u	AS	了	9
357	Di	v	VV	vf	VERB	VERB	v	vd	v	v	VV	起	9
358	FW	v	VV	vf	VERB	VERB	v	vd	v	v	VV	来	9
359	COMMACATEGORY	w	PU	wd	PUNCT	PUNCT	wp	w	w	w	PU	，	9
360	FW	r	PN	rzv	PRON	PRON	r	r	r	r	PN	这	9
361	D	d	AD	d	VERB	ADV	d	d	d	d	AD	更	9
362	VL	v	VV	v	VERB	VERB	v	v	v	v	VV	使	9
363	Nh	r	PN	rr	PRON	PRON	r	r	r	r	PN	他	9
