- парфен ? да уж это не тех ли самых рогожиных ... - начал было с усиленною важностью чиновник . ||| “ 帕 尔 芬 ？ 这 不 就 是 那 一 家 罗 戈 任 … … ” 小 公 务 员 特 别 傲 慢 地 说 。
болели обожженные пальцы , саднило лицо , из глаз текли слезы , но меня угнетала не боль , а тяжелое , тупое удивление : зачем это сделано со мной ? ||| 被 烧 的 指 头 发 疼 ， 我 的 脸 破 了 ， 眼 里 流 着 泪 。 但 是 压 得 我 透 不 过 气 来 的 ， 还 不 是 这 种 肉 体 上 的 痛 苦 ， 而 是 一 种 不 可 言 状 的 惊 异 ： 为 什 么 他 们 要 这 样 对 待 我 ？
я чувствовал себя потерявшим что-то и прожил несколько дней в глубокой печали . ||| 我 觉 得 我 好 象 失 掉 了 什 么 ， 在 深 切 的 悲 哀 中 过 了 几 天 。
пелагея , — обратился он к горничной , — дайте гостям переодеться во что-нибудь . ||| 佩 拉 吉 娅 ， ” 他 转 身 对 女 仆 说 ， “ 快 去 给 客 人 们 找 两 身 衣 服 换 换 。
- о , напротив ! ||| “ 哦 ， 恰 恰 相 反 ！
должно быть , он действительно не даром брал жалованье из акционерного общества . ||| 看 来 ， 他 确 实 不 是 白 拿 股 份 公 司 的 薪 俸 的 。
как так ? ||| 怎 么 会 这 样 ？ ”
необыкновенная раздражительность послышалась вдруг в этом вопросе . ||| 在 这 个 问 题 中 突 然 可 以 感 觉 到 有 一 种 异 乎 寻 常 的 激 债 。
никогда бы в другое время не пришлась так кстати шинель , потому что начинались уже довольно крепкие морозы и , казалось , грозили еще более усилиться . ||| 外 套 送 来 得 太 巧 了 ， 因 为 已 经 是 天 寒 地 冻 的 时 节 ， 眼 看 就 要 越 来 越 冷 了 。
парень сурово избычился и устрашающим голосом зарычал : — прогулял причастие , еретик ? ||| 那 家 伙 严 厉 地 板 起 面 孔 ， 用 吓 唬 的 声 音 向 我 吆 喝 ： “ 不 去 领 圣 餐 ， 偷 着 玩 儿 ， 是 不 是 邪 教 徒 ？
— а если уху закажут или паровую ? ||| “ 可 是 客 人 如 果 要 鱼 汤 、 要 蒸 鱼 怎 么 办 呢 ？ ”
это были поэмы пушкина . ||| 这 是 一 本 普 希 金 的 诗 集 。
возможно , в литературном недоразумении он увидел подсказку , этакий направляющий шлепок судьбы , который убедил преодолеть малодушный соблазн , самолюбиво и гордо вернуться к себе в столбенец , где можно было без оглядки на чужой вкус выстраивать вокруг себя мир непритязательного счастья и доступной , как в детстве , гениальности . ||| 也 许 ， 在 文 学 界 的 争 吵 中 他 得 到 了 提 示 ， 挨 了 这 么 一 下 对 命 运 带 有 导 向 作 用 的 耳 光 ， 使 他 克 制 意 志 薄 弱 的 诱 惑 ， 自 尊 自 傲 地 回 到 自 己 的 斯 托 尔 别 涅 兹 ， 在 那 里 他 可 以 不 用 顾 及 别 人 的 脸 色 ， 而 营 造 自 己 周 围 的 世 界 ， 那 简 朴 幸 福 的 儿 时 那 样 的 世 界 。
не стоит ею свысока пренебрегать , иначе мы не поймем внутренней жизни нового сиротского слоя , что все больше заменяет прежнее крестьянство , не поймем тот народ будущего , который восторжествует при любом повороте истории . ||| 不 必 高 傲 地 藐 视 它 ， 否 则 我 们 将 不 会 理 解 正 在 越 来 越 多 地 顶 替 原 来 农 民 的 新 的 贫 寒 阶 层 的 内 心 生 活 ， 我 们 也 不 会 理 解 那 个 在 历 史 的 任 何 转 折 关 头 得 胜 的 民 族 的 未 来 。
имя это мелькнуло перед лизавиным в оглавлении трудов губернской археографической комиссии за 1923 год , которые он взял полистать в московской библиотеке . ||| 这 个 名 字 曾 在 1 9 2 3 年 省 古 文 献 委 员 会 的 著 作 目 录 上 ， 在 利 扎 温 面 前 闪 了 一 下 ， 他 在 莫 斯 科 图 书 馆 借 阅 过 这 本 目 录 。
но не обязательно и ненадолго . ||| 但 并 非 必 须 和 一 时 的 。
для них . тоже можно понять . неравенство , глупость , ложь и иерархия — извечны , естественны и — неустранимы . ||| 对 他 们 而 言 ， 同 样 可 以 理 解 不 平 等 ， 愚 蠢 行 为 ， 谎 言 和 等 级 制 度 — — 都 是 自 古 以 来 就 有 的 ， 自 然 而 然 的 ， 无 法 消 除 的 。
да , новая квартира — вот ведь еще какое успело случиться к тем временам событие . ||| 是 的 ， 新 居 — — 还 有 什 么 样 的 事 件 有 机 会 赶 得 上 那 个 时 代 的 。
меня контузило в сорок третьем . ||| 1 9 4 3 年 我 受 了 震 伤 。
-- повторяю же вам , что нет . ||| “ 我 再 向 您 重 复 一 次 ， 没 有 。 ”
очень хорошо . ||| 很 好 ，
говорят , весьма недавно поступила просьба от одного капитан-исправника , не помню какого-то города , в которой он излагает ясно , что гибнут государственные постановления и что священное имя его произносится решительно всуе . ||| 据 说 ， 不 久 之 前 ， 有 一 位 县 警 察 署 长 ， 我 记 不 清 是 哪 一 个 县 的 了 ， 上 递 一 张 呈 文 ， 其 中 清 楚 地 陈 述 ， 国 家 法 纪 式 微 ， 他 的 神 圣 的 名 字 被 无 端 亵 渎 。
— все гниют ? ||| “ 所 有 的 人 都 要 烂 吗 ？ ”
я сел на тумбу , сообразив , что это играют на какой-то невыносимой скрипке , чудесной мощности , — невыносимой потому , что слушать ее было почти больно . ||| 我 坐 在 阶 沿 石 上 ， 心 里 想 这 一 定 是 一 种 有 魅 力 的 提 琴 声 ， 因 为 听 起 来 心 里 很 不 好 受 。
так он отвечает всё , как было , — солдат обязан отвечать правду . ||| 那 兵 士 一 五 一 十 报 告 了 。 当 兵 的 可 不 能 撒 谎 。
рассказывая мне эту историю , денщики тоже смеялись , ругали закройщицу . ||| 勤 务 兵 们 一 边 把 这 事 讲 给 我 听 ， 一 边 笑 骂 着 裁 缝 的 妻 子 。
с этим как-нибудь справимся . мама все говорила , что не дождется внука . почему ж не дождется ? дождется . ||| 我 们 怎 么 也 能 解 决 好 它 。
( и над чем , интересно , эксперимент ? или над кем ? — то ли следит за развитием идей , то ли за живыми судьбами ? зачем так ? я этого не хотел ! тоже поворот мысли . ) ||| （ 有 意 思 的 是 做 什 么 实 验 ？ 或 是 在 谁 身 上 做 实 验 ？ 不 知 是 注 视 思 想 的 发 展 ， 还 是 留 意 活 人 的 命 运 ？ 为 什 么 这 样 ？ 我 不 愿 意 这 样 ！ 同 样 是 思 想 的 转 变 ） 。
у меня была такая же . ||| 我 也 是 这 样 的 。
шевелится , живет , сыплется сквозь пальцы неуловимое вещество — поди удержи , разгляди , вдумайся ||| 难 以 觉 察 的 物 体 颤 动 着 ， 生 存 着 ． 透 过 指 间 散 落 着 — — 试 着 抓 住 它 ， 认 出 它 ， 深 思 它 。
— нет , это приезжают . ||| ‘ 不 ， 这 是 外 来 人 干 的 。
— бросьте , антон андреевич , я сейчас как никогда всерьез . ||| “ 算 了 吧 ， 安 东 · 安 德 列 耶 维 奇 ， 我 现 在 从 来 没 有 这 样 严 肃 。
каждое ранение безусловно смертельно . ||| 每 一 处 伤 无 疑 都 会 是 致 命 的 。
ты думаешь – мертвое дело ? ||| 你 认 为 ， 事 情 没 门 儿 ？ ”
– попка дурак ! ||| “ 小 鹦 鹉 是 个 傻 瓜 ! ”
по приезде в ростов сейчас же побежал по адресу . ||| 到 达 罗 斯 托 夫 以 后 ， 我 立 刻 按 照 地 址 找 了 去 。
и не такие еще придется нести расходы . ||| 以 后 的 花 费 可 能 还 不 止 这 些 呢 ，
такая репутация , ее образование , изящная манера , остроумие -- всё это утвердило афанасия ивановича окончательно на известном плане . ||| 这 样 的 名 声 、 她 的 教 养 ， 典 雅 的 风 度 、 机 敏 的 谈 吐 - - 这 一 切 最 终 使 阿 法 纳 西 · 伊 万 诺 维 奇 确 信 可 以 实 施 一 个 计 划 ，
она первая ее и выдала на позор : когда в деревне услышали , что мари воротилась ; то все побежали смотреть мари , и чуть не вся деревня сбежалась в избу к старухе : старики , дети , женщины , девушки , все , такою торопливою , жадною толпой . ||| 她 第 一 个 让 她 当 众 受 辱 ： 当 村 里 人 听 说 玛 丽 回 来 了 ， 大 家 便 跑 来 看 她 ， 差 不 多 全 村 人 都 愧 拢 到 老 大 婆 的 茅 屋 里 来 ： 老 人 ， 孩 子 ， 妇 女 ） 姑 娘 ， 所 有 的 人 都 争 先 恐 后 急 于 赶 来 贪 看 个 热 闹 ，
-- а ! так вот как ! -- скрежетал он , -- так мои записки в окно швырять ! ||| “ 啊 ， 原 来 是 这 样 ！ ” 他 咬 牙 切 齿 地 说 ， “ 怪 不 得 把 我 的 字 条 往 窗 外 扔 ！
вспоминаю , как бабушка , сидя на корточках перед подпечком , приговаривала : — ласковый хозяин , изведи тараканов ... ||| 我 又 记 起 外 祖 母 蹲 在 炉 炕 前 说 的 话 ： “ 好 心 的 家 神 爷 呀 ， 把 油 蟑 螂 撵 走 吧 … … ”
товару в лавочке было немного , он объяснял это тем , что дело у него новое , — он не успел наладить его , хотя лавка была открыта еще осенью . ||| 铺 子 里 货 物 很 少 ， 他 说 因 为 开 张 不 久 ， 所 以 还 没 有 配 齐 ， 其 实 那 铺 子 秋 天 就 开 了 。
это было до того глупо , что даже не задело меня ; более обидным показалось , что хозяин , усмехнувшись , молвил : — что ж — пора ! .. ||| 这 话 太 没 道 理 了 ， 甚 至 都 没 有 激 怒 我 ； 可 是 主 人 的 一 句 话 使 我 很 难 过 ， 他 冷 笑 了 一 下 ， 说 ： “ 也 难 怪 ， 到 年 纪 了 。 … … ”
зачем так ? ||| 为 什 么 这 样 ？
картинки поросячьего детства , невинные радости , игры на траве , возмужание — вплоть до последнего изумленного взгляда на синие прекрасные небеса . ||| 从 早 期 在 杂 志 上 发 表 的 作 品 里 找 的 。 小 猪 崽 童 年 的 图 景 ， 天 真 无 邪 的 欢 乐 ， 在 草 地 上 玩 耍 ， 发 育 得 健 壮 结 实 — — 一 直 至 最 后 用 惊 讶 的 目 光 瞥 一 眼 美 丽 的 蓝 天 。
ветки блестящими кольцами закручивались вокруг фонаря . ||| 树 枝 在 街 灯 旁 晃 动 ， 旋 起 发 亮 的 光 圈 。
только что проложенный асфальт был вскрыт и пересечен траншеей . ||| 铲 平 了 。 刚 铺 上 沥 青 的 路 面 暴 露 着 ， 被 堑 壕 切 断 。
важна общепринятая , общезначимая система ценностей , равновесие внутреннего и внешнего , желания и осуществления ... ||| 重 要 的 是 公 认 的 、 具 有 普 遍 意 义 的 、 价 值 的 、 内 外 部 平 衡 的 愿 望 和 实 现 的 系 统 … …
погребальная контора ||| 殡 葬 事 务 所
как сделать , туды ее в качель ? ||| 怎 么 安 排 ， 去 他 们 的 ？
– но ведь это же безумие ! ||| “ 简 直 是 毫 无 头 脑 ！
– а ужин как же ? ||| “ 你 吃 不 吃 晚 饭 了 ？ ”
– вы все-таки никому не говорите , что меня видели , – просительно сказал ипполит матвеевич , – могут и впрямь подумать , что я эмигрант . ||| “ 您 最 好 还 是 不 要 对 任 何 人 说 看 见 我 了 ， ” 伊 波 里 特 · 马 特 韦 耶 维 奇 恳 求 他 ， “ 人 们 可 能 还 真 的 以 为 我 是 一 个 叛 逃 者 呢 。 ”
лед тронулся ! ||| 坚 冰 已 破 ！
вверх двумя маршами вела дубовая лестница с лаковыми некогда ступенями . ||| 通 往 楼 上 的 是 一 个 分 作 两 段 的 柞 木 楼 梯 ， 梯 阶 曾 经 是 漆 过 的 ，
– а чье же ? ||| “ 那 是 谁 的 ？ ”
несмотря на ощутительную разницу в вывесках и величине оборотного капитала , оба эти разнородные предприятия занимались одним и тем же делом : спекулировали мануфактурой всех видов – грубошерстной , тонкошерстной , хлопчатобумажной , а если попадался шелк хороших цветов и рисунков , то и шелком . ||| 这 两 家 不 同 类 型 的 企 业 , 虽 然 招 牌 不 同 ， 周 转 资 金 的 多 少 也 有 明 显 的 差 别 ， 但 是 他 们 却 干 着 同 一 勾 当 — — 纺 织 品 的 投 机 生 意 : 买 卖 粗 细 毛 料 ， 精 梳 毛 织 物 、 棉 织 品 ， 如 果 遇 上 花 色 、 图 案 都 好 的 丝 织 品 ， 也 买 卖 丝 绸 。
спина старичка пришла в движение и утвердительно выгнулась . ||| 老 头 儿 脊 背 动 了 动 ， 往 上 一 拱 表 示 肯 定 。
княгиня белорусско-балтийская , последняя пассия графа , была безутешна . ||| 他 最 后 的 一 位 情 人 ， 白 俄 罗 斯 - 波 罗 的 海 公 爵 夫 人 悲 痛 欲 绝 。
они засели в уголке и принялись наблюдать за тем , как отец русской демократии ест холодную телятину . ||| 两 个 年 轻 人 往 角 落 里 一 坐 ， 便 看 起 俄 国 民 主 之 父 在 怎 样 吃 着 冷 切 小 牛 肉 。
он приехал из ленинграда по делам увязки , согласования и конкретного охвата . ||| 他 是 从 列 宁 格 勒 来 联 系 、 商 讨 和 确 定 具 体 业 务 范 围 的 。
сесть за него было все равно , что сесть за театральную площадь , причем большой театр с колоннадой и четверкой бронзовых коняг , волокущих аполлона на премьеру « красного мака » , показался бы на столе чернильным прибором . ||| 坐 在 它 后 面 酷 似 坐 在 大 剧 院 广 场 前 ， 而 剧 院 正 面 的 廊 柱 以 及 其 上 方 的 青 铜 雕 饰 （ 载 着 阿 波 罗 去 观 看 《 红 罂 粟 》 首 演 的 四 匹 骏 马 ） 也 不 过 是 案 头 的 文 具 而 已 。
всем стало очень совестно . ||| 大 家 都 感 到 很 不 好 意 思 。
на первой странице эллочка остановилась . ||| 艾 洛 奇 卡 的 目 光 停 在 了 第 一 页 上 。
потом оказалось , что бекасов летом тоже не стреляют . ||| 后 来 才 知 道 ， 原 来 夏 季 也 不 是 打 田 鹬 的 季 节 。
французский кинооператор из группы « авангард » нашел бы здесь работы на трое суток . ||| 如 果 是 法 国 “ 先 锋 ” 电 影 摄 制 组 的 摄 影 师 ， 他 会 在 这 里 拍 上 三 天 三 夜 。
на каком ходу ? ||| 哪 一 步 吃 的 ？ ”
– городок не плох , – сказал остап , выйдя на проспект шота руставели , – вы знаете , киса… ||| “ 这 个 小 城 市 还 不 错 ， ” 来 到 绍 塔 · 卢 斯 塔 维 利 大 街 时 奥 斯 塔 普 说 ， “ 您 知 道 ， 基 萨 … … ”
вот я уж месяц назад это видел , а до сих пор у меня как пред глазами . ||| 我 是 一 个 月 前 看 见 这 事 的 ， 可 至 今 此 景 象 尚 浮 现 在 眼 前 ，
-- в жмурки играть ? каким образом ? ||| “ 玩 捉 迷 藏 ？ ”
стало быть , всё пустяки и неправда ; по обыкновению . ||| 看 来 ， 全 是 无 稽 之 谈 ， 跟 平 常 人 一 样 。
и смеется тихонько , весело . — придумали , дурачки ! ||| 她 悄 悄 地 、 快 乐 地 笑 起 来 。 “ 都 是 瞎 编 ， 糊 涂 虫 ！
и задал мне урок : — сделай план квартиры : как расположены комнаты , где двери , окна , где что стоит . я указывать ничего не буду — делай сам ! ||| 于 是 ， 他 出 了 题 目 给 我 ： “ 现 在 ， 你 制 一 张 房 屋 平 面 图 ， 屋 子 怎 样 布 置 ， 门 窗 在 哪 里 ， 什 么 东 西 在 哪 里 ， 我 不 告 诉 你 — — 你 自 己 去 想 吧 ！ ”
чёртова кукла , бабушка матрена , рычит на меня волком , и жить мне — очень солоно ! ||| 那 个 鬼 老 婆 子 马 特 廖 娜 ， 象 狼 一 样 地 对 我 咆 哮 ， 再 活 下 去 也 没 有 意 思 了 ！
отнял у меня книгу , принес от капитанши другую и угрюмо приказал : — читай тараса ... как его ? найди . она говорит — хорошо ... ||| 他 从 我 手 里 把 书 夺 过 去 ， 跑 到 船 长 太 太 那 儿 ， 另 拿 了 一 本 来 ， 不 大 高 兴 地 命 令 我 道 ： “ 你 念 《 塔 拉 斯 》 … … 他 姓 什 么 来 着 ？ 你 找 出 来 ， 她 说 这 是 一 本 顶 好 的 书 … …
да мало ли ! ||| 还 少 埃 ”
выбрав хорошую минуту , я спрашиваю хозяина . ||| 我 找 到 一 个 好 机 会 ， 就 向 主 人 问 。
мы ценим в гениях , по сути , то же , что и в цыганском романсе : совпадение с собственной душой , оправданность ожиданий — ну , конечно , обновленных складностью , даже изяществом выражения , нам не всегда доступными » . ||| 我 们 同 样 如 此 ， 所 有 这 一 切 我 们 都 曾 亲 身 体 验 过 。 我 们 重 视 天 才 ， 实 际 上 ， 与 茨 冈 式 浪 漫 曲 一 样 ： 与 个 人 的 心 灵 相 通 和 期 望 的 不 被 辜 负 — — 当 然 ， 这 些 作 品 充 溢 着 流 畅 与 和 谐 ， 甚 至 表 达 的 优 雅 亦 并 非 我 们 所 能 经 常 达 到 的 。
его колдуном звали » . ||| 大 伙 管 他 叫 巫 师 。 ”
( ах , и о ней тоже ? — уже слышится голос , насмешливый и недоверчивый . ||| （ 咳 ， 也 算 提 到 了 她 ？ — — 已 经 听 到 嘲 笑 的 、 不 信 任 的 声 音 。
— наверное . я столько лет в москве , но все время чувствую себя одинокой . такой одинокой ! ||| “ 确 实 。 我 在 莫 斯 科 那 么 些 年 ， 但 总 觉 得 自 己 孤 单 单 的 。 那 样 的 孤 单 ！ ”
— картошка тоже живая . ||| “ 土 豆 也 是 活 的 。
врач в больнице был все-таки своим , как продавец в магазине . ||| 医 生 在 医 院 里 毕 竟 是 自 己 人 ， 就 像 商 店 里 的 售 货 员 那 样 。
сместились черты узора , опять нет прозрачности — распутье среди глухих каменных стен , дорога мимо непрозрачных окон , чужих дверей . на столбе объявление о домработнице . мужчина с пальцами в холодной лягушачьей слизи . толстая женщина пышет в лицо желтой серой . ты смотри , слышишь ! идиотку из себя не строй . вот этими руками задушу , если еще с ним увижу . как выбирают профессию , как становятся библиотекаршами , сортировщицами на почте , служащими справочного бюро ? по объявлению , по соседству , знакомые позвали , родственники пристроили , девчонки на улице угостили молоком из бутылки , разговорились . существовали удивительные способы заработка . рассказывали про склады , где будто бы хранились запасы продуктов на случай войны , что ли , и время от времени туда нанимали добровольцев проверять , не портятся ли . масло , например , предлагали пробовать бесплатно , только без хлеба , чтобы чувствовать вкус . ох , я бы пошла , только где те склады и как туда попадают ? еще где-то , говорят , искали добровольцев , чтобы проверять на них новые прививки . не смертельные , конечно , вообще не такие уж опасные , разве что неприятные , зато платили , говорят , здорово . можно было также продать медикам права на использование своего трупа после смерти . будто бы платили сразу и неплохо , а в паспорте ставили штамп с буквами т. п . — труп продан . удивительная , неизвестная жизнь . смесь отчаяния , свободы и легкости . невелика была добродетель не знать забот за отцовской , потом за мужниной спиной , в магазине отдавать деньги на милость кассирши : сколько вернет сдачи , столько и хорошо . ||| 图 案 的 线 条 变 动 了 ， 又 没 了 透 明 度 — — 荒 凉 的 石 墙 中 间 一 道 交 叉 路 口 ， 道 路 从 不 透 光 的 窗 子 和 陌 生 的 门 旁 穿 过 。
это , представьте себе , токай , настоящий венгерский , чего только не завезут в нашу дыру . ||| 您 瞧 ， 这 是 托 考 伊 甜 葡 萄 酒 ， 真 正 的 匈 牙 利 货 ， 在 我 们 偏 僻 地 方 为 什 么 不 运 来 ？
и даже керосиновая лампа ||| 甚 至 一 盏 煤 油 灯
да , говорит , приезжают все время . ||| 是 的 ， 他 说 ， 总 是 有 人 来 。
потом вдруг начинает писать в тетрадке . ||| 然 后 突 然 在 笔 记 本 上 写 起 来 。
твой начнется к солнцу взлет . ||| 你 开 始 向 幸 福 飞 腾 。
сын турецко-подданного за свою жизнь переменил много занятий . ||| 这 个 土 耳 其 臣 民 的 后 代 ， 一 生 中 更 换 了 多 种 职 业 。
– где же он может быть ? ||| “ 它 会 在 哪 儿 呢 ？
– м-м-м ! .. так , может быть , вы , святой отец , партийный ? ||| “ 嗯 一 嗯 一 嗯 … … 这 么 说 ， 您 ， 圣 洁 的 神 父 ， 可 能 是 个 党 员 喽 ！ ”
это типичное пижонство – грабить бедную вдову . ||| 这 是 典 型 的 纨 绔 子 弟 作 风 ， 打 劫 可 怜 的 寡 妇 。 ”
позади меня гудят стропила . ||| 我 身 后 的 桁 架 在 嗡 嗡 作 响 。
ипполит матвеевич за все время экзекуции не издал ни звука . ||| 伊 波 里 特 · 马 特 韦 耶 维 奇 在 整 个 受 刑 过 程 中 没 出 一 声 。
например , долгорукий ! ||| 比 如 说 ， ‘ 长 手 君 ’ ，
в черных небесах сиял транспарант . ||| 在 黑 魆 魃 的 夜 空 中 透 明 画 大 放 光 明 。
и будешь ты царицей ми-и-и-и-рра , ||| “ 你 将 成 为 世 一 世 一 世 界 皇 后 ，
– ну , так вот , – тяжелая рука его опустилась на плечо павки и толкнула к самоварам , – они у тебя всегда должны быть готовы , а они , видишь : один затух , а другой еле дышит . ||| 那 好 吧 “ 他 一 只 手 使 劲 使 住 保 尔 的 肩 膀 ， 把 他 推 到 两 个 大 茶 炉 跟 前 ” 说 这 两 个 大 茶 炉 你 得 烧 好 ， 什 么 时 候 要 水 都 得 有 ， 可 是 你 看 ： 现 在 一 个 已 经 灭 了 另 一 个 也 快 没 火 星 了 “
на дворе была метель ; ветер выл , ставни тряслись и стучали ; все казалось ей угрозой и печальным предзнаменованием . ||| 户 外 起 了 暴 风 雪 ， 风 在 吼 ， 百 叶 窗 在 抖 动 ， 磕 碰 直 响 。 她 觉 得 ， 一 切 都 暗 藏 杀 机 ， 兆 头 不 妙 。
гм ... по крайней мере простодушны и искренны , а сие похвально ! ||| 嗯 … … 至 少 您 是 忠 厚 老 实 的 ， 这 是 值 得 称 赞 的 ！
но как бы сильно ни увлекались игрою мы трое — кострома , чурка и я , — все-таки нет-нет да тот или другой бежит похвастаться перед хроменькой девушкой . ||| 可 是 无 论 玩 得 多 起 劲 ， 科 斯 特 罗 马 、 丘 尔 卡 跟 我 三 个 人 中 ， 总 还 是 有 一 个 人 跑 到 瘸 子 姑 娘 面 前 去 夸 功 。
я глубоко благодарен ему за эти слова , а оставшись глаз на глаз с бабушкой , говорю ей , с болью в душе : — зачем ты ходишь сюда , зачем ? ||| 我 深 深 感 激 他 这 句 话 。 但 等 我 单 独 和 外 祖 母 在 一 起 的 时 候 ， 我 很 痛 心 地 对 她 说 ： “ 你 干 吗 上 这 儿 来 ， 干 吗 来 呀 ？
к полудню я кончаю ловлю , иду домой лесом и полями , — если идти большой дорогой , через деревни , мальчишки и парни отнимут клетки , порвут и поломают снасть , — это уж было испытано мною . ||| 到 近 午 时 候 ， 我 停 止 了 捕 鸟 ， 穿 过 森 林 和 旷 野 回 家 去 。 如 果 走 大 路 经 过 村 落 ， 便 有 一 班 孩 童 、 小 伙 子 来 打 劫 我 的 鸟 笼 ， 打 坏 我 的 工 具 。 这 种 事 我 已 经 遇 到 过 了 。
