,ckiptagger,pkuseg,fastHan,PyNLPIR,stanza,spacy,ltp,jiagu,lac,snownlp,target,char,pymorphy,rus
103,NN,VV,VV,P,VV,VV,VV,P,DEG,VV,VV,给,PRTF,укрепленной
104,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,加,PRTF,укрепленной
105,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,固,PRTF,укрепленной
106,AS,AS,AS,AS,AS,AS,AS,AS,AS,AS,AS,了,PRTF,укрепленной
107,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,。,PUNCT,.
108,NN,LC,NN,LC,NN,NN,LC,NN,NN,LC,NN,脚,NOUN,ногами
109,LC,LC,LC,LC,NN,NN,LC,NN,LC,LC,LC,下,PREP,под
110,DEG,DEG,DEG,DEG,DEG,DEG,DEG,DEG,DEG,DEG,DEG,的,,
111,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,路,NOUN,дорога
112,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,面,,
113,AD,AD,AD,AD,AD,AD,AD,VA,AD,AD,AD,微,ADVB,слабо
114,AD,AD,AD,AD,AD,AD,AD,VA,AD,AD,AD,微,ADVB,слабо
115,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,发,VERB,светилась
116,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,亮,VERB,светилась
117,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,。,PUNCT,.
118,VV,DT,DT,DT,DT,DT,DT,DT,DT,DT,DT,这,ADJF,та
119,CD,NN,CD,CD,NN,CD,PN,NN,NN,NN,CD,部,NOUN,часть
120,CD,NN,CD,CD,NN,CD,PN,NN,NN,NN,CD,分,NOUN,часть
121,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,城,NOUN,пригорода
122,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,郊,NOUN,пригорода
123,VV,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,当,ADVB,тогда
124,VV,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,时,ADVB,тогда
125,VV,AD,AD,AD,AD,AD,AD,AD,AD,AD,AD,还,,
126,AD,AD,AD,AD,AD,AD,AD,AD,AD,AD,AD,很,,
127,VA,VA,VA,VA,VA,VA,VA,VA,VA,VA,VA,偏,ADJF,глухим
128,VA,VA,VA,VA,VA,VA,VA,VA,VA,VA,VA,僻,ADJF,глухим
129,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,，,PUNCT,","
130,VV,AD,VE,VV,VE,VE,VE,VE,VE,VV,VE,没,PRCL,не
131,VE,AD,VE,VV,VE,VE,VE,VE,VE,VV,VE,有,PRTF,застроенным
132,CD,VA,CD,DT,CD,CD,PN,PN,PN,PN,CD,多,PRTF,застроенным
133,CD,VA,CD,DT,DEG,CD,PN,PN,PN,PN,CD,少,PRTF,застроенным
134,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,房,PRTF,застроенным
135,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,屋,PRTF,застроенным
136,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,，,CONJ,и
137,CD,VV,AD,M,NN,AD,VV,NN,NN,AD,AD,遍,,
138,NN,VV,AD,NN,NN,AD,VV,NN,NN,AD,AD,地,,
139,VC,VV,VC,VC,VC,VC,VC,VC,VC,VC,VC,是,,
140,NN,NN,NN,NN,NN,NN,NN,NN,NN,SP,NN,杂,ADJF,сорным
141,NN,NN,NN,NN,NN,NN,NN,NN,NN,SP,NN,草,ADJF,сорным
142,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,。,PUNCT,.
143,PN,PN,PN,PN,PN,PN,PN,PN,PN,PN,PN,她,NPRO,ее
144,DEG,DEG,DEG,DEG,DEG,DEG,DEG,DEG,DEG,DEG,DEG,的,NPRO,ее
145,NN,NN,NN,NN,NN,NN,NN,NN,NN,NR,NN,瞳,NOUN,зрачки
146,NN,NN,NN,NN,NN,NN,NN,NN,NN,NR,NN,孔,NOUN,зрачки
147,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,睁,PRTS,расширены
148,DER,DER,DER,DER,VV,DER,DER,DER,DER,DER,DER,得,PRTS,расширены
149,NN,PN,AD,DT,AD,AD,PN,PN,AD,PN,AD,这,CONJ,так
150,NN,PN,AD,DT,AD,AD,PN,PN,AD,PN,AD,么,CONJ,так
151,VA,VA,VA,VA,VA,VA,VA,VA,VA,VA,VA,大,PRTS,расширены
152,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,，,PUNCT,","
153,VA,AD,AD,AD,AD,AD,AD,AD,AD,AD,AD,几,ADVB,почти
154,VA,AD,AD,AD,AD,AD,AD,AD,AD,AD,AD,乎,ADVB,почти
155,CC,P,P,CC,P,P,P,AD,P,AD,P,和,PREP,с
156,NN,NN,JJ,NN,JJ,JJ,NN,NN,NN,NN,JJ,黑,ADJF,черными
157,NN,NN,JJ,NN,JJ,JJ,NN,NN,NN,NN,JJ,色,ADJF,черными
158,DEG,DEG,DEG,DEG,DEG,DEG,DEG,DEG,DEG,DEG,DEG,的,ADJF,черными
159,NN,NN,NN,NN,NN,NN,NN,NN,NN,CD,NN,虹,NOUN,радужки
160,NN,NN,NN,NN,NN,NN,NN,NN,NN,CD,NN,膜,NOUN,радужки
161,NN,VV,NN,M,DEG,NN,NN,NN,NN,M,NN,圈,NOUN,ободками
162,NN,VV,VV,VV,VV,NN,NN,VV,VV,VV,VV,合,VERB,сошлись
163,VA,P,AD,P,VV,AD,P,VV,VV,P,AD,在,VERB,сошлись
164,VA,NN,AD,NN,NN,AD,NN,VV,VV,NN,AD,一,VERB,сошлись
165,VA,NN,AD,NN,NN,AD,NN,VV,VV,NN,AD,起,VERB,сошлись
166,SP,SP,SP,SP,SP,SP,SP,SP,SP,SP,SP,了,VERB,сошлись
167,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,，,PUNCT,","
168,CC,CC,CC,CC,AD,AD,CC,CC,CC,CC,CC,而,CONJ,и
169,CC,CC,CC,CC,AD,AD,CC,CC,CC,CC,CC,且,CONJ,и
170,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,眼,NOUN,глаза
171,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,睛,NOUN,глаза
172,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,显,VERB,казались
173,DEG,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,得,VERB,казались
174,AD,AD,AD,AD,AD,AD,AD,VC,VV,AD,AD,不,PRCL,не
175,VC,AD,VC,VC,VC,AD,AD,VC,VC,VC,VC,是,PRCL,не
176,NN,NN,JJ,NN,JJ,VV,NN,NN,NN,NN,JJ,灰,ADJF,серыми
177,NN,NN,JJ,NN,JJ,VV,NN,NN,NN,NN,JJ,色,ADJF,серыми
178,SP,DEG,DEG,DEG,DEG,DEG,DEG,DEG,DEG,DEG,DEG,的,ADJF,серыми
179,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,，,PUNCT,","
180,CC,CC,CC,CC,VV,AD,CC,VC,CC,CC,CC,而,CONJ,а
181,AD,AD,VC,AD,VC,AD,AD,VC,AD,AD,VC,是,CONJ,а
182,NN,NN,JJ,NN,JJ,JJ,NN,NN,NN,NN,JJ,黑,ADJF,черными
183,NN,NN,JJ,NN,JJ,JJ,NN,NN,NN,NN,JJ,色,ADJF,черными
184,SP,DEG,DEG,DEG,DEG,DEG,DEG,DEG,DEG,DEG,DEG,的,ADJF,черными
185,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,。,PUNCT,.
186,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,将,NOUN,генерал
187,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,军,NOUN,генерал
188,VV,VA,VV,NN,VV,VV,NN,VV,VV,NN,VV,气,VERB,обозлился
189,VV,VA,VV,VA,VV,VV,NN,VV,VV,VA,VV,坏,VERB,обозлился
190,AS,AS,AS,AS,AS,AS,AS,AS,AS,AS,AS,了,VERB,обозлился
191,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,，,PUNCT,","
192,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,内,NOUN,душе
193,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,心,NOUN,душе
194,VA,CD,CD,CD,CD,CD,CD,AD,CD,CD,CD,一,,
195,VA,M,M,M,M,M,M,AD,CD,M,M,种,,
196,VA,VA,VA,VA,VA,VA,VA,VA,VA,VA,VA,不,ADJF,дурное
197,VA,VA,VA,VA,VA,VA,VA,VA,VA,VA,VA,祥,ADJF,дурное
198,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,的,ADJF,дурное
199,NN,NN,NN,NN,NN,NN,VV,VV,NN,NN,NN,预,NOUN,предчувствие
200,NN,NN,NN,NN,NN,NN,VV,VV,NN,NN,NN,感,NOUN,предчувствие
201,NN,AD,AD,AD,AD,AD,AD,AD,AD,AD,AD,随,,
202,VV,AD,AD,AD,AD,AD,AD,AD,AD,AD,AD,即,,
203,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,闪,PRTF,шевельнувшееся
204,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,现,PRTF,шевельнувшееся
205,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,，,PUNCT,","
206,NN,NT,AD,NT,NN,NN,NT,NT,NT,NT,AD,瞬,ADVB,сразу
207,NN,NT,AD,NT,NN,NN,NT,NT,NT,NT,AD,间,ADVB,сразу
208,AD,AD,AD,AD,AD,AD,AD,AD,AD,AD,AD,又,,
209,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,消,VERB,растаяло
210,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,逝,VERB,растаяло
211,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,。,PUNCT,.
212,NR,NR,NR,NR,NR,NR,NR,NR,NR,Dg,NR,玛,NOUN,маша
213,NR,NR,NR,NR,NR,NR,NR,NR,NR,Dg,NR,莎,NOUN,маша
214,VC,VV,VC,VC,VC,VC,VC,VC,VC,VC,VC,是,,
215,NN,NN,NN,NN,NN,NN,NN,NT,NN,NN,NN,年,ADJF,юнейшая
216,NN,NN,NN,NN,NN,NN,NN,NT,NN,NN,NN,纪,ADJF,юнейшая
217,AD,AD,AD,AD,VA,AD,AD,VA,VA,AD,AD,最,ADJF,юнейшая
218,VA,VA,VA,VA,VA,VA,VA,VA,VA,VA,VA,小,ADJF,юнейшая
219,SP,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,的,,
220,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,，,PUNCT,","
221,AD,AD,AD,AD,AD,AD,AD,AD,AD,AD,AD,所,CONJ,как
222,AD,AD,AD,AD,AD,AD,AD,AD,AD,AD,AD,以,CONJ,как
223,OD,OD,OD,OD,CD,CD,OD,mq,OD,OD,OD,第,ADJF,первая
224,OD,OD,OD,OD,CD,CD,OD,mq,OD,OD,OD,一,ADJF,первая
225,VV,M,M,M,M,M,M,mq,CD,M,M,个,ADJF,первая
226,VV,VV,VV,VV,VV,VV,VV,VV,VV,M,VV,读,VERB,читала
227,AS,AS,AS,AS,AS,AS,AS,AS,AS,DEG,AS,了,VERB,читала
228,PN,PN,PN,PN,PN,PN,PN,PN,PN,PN,PN,自,,
229,PN,PN,PN,PN,PN,PN,PN,PN,PN,PN,PN,己,,
230,DEG,DEG,DEG,DEG,DEG,DEG,DEG,DEG,DEG,DEG,DEG,的,,
231,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,诗,,
232,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,。,PUNCT,.
233,VV,NN,NN,VV,NN,AD,NN,VV,NN,NN,NN,来,,
234,NN,NN,NN,NN,NN,AD,NN,NN,NN,NN,NN,人,NOUN,народу
235,NN,AD,AD,CC,AD,AD,AD,AD,AD,AD,AD,并,,
236,AD,AD,AD,AD,VA,AD,AD,AD,AD,AD,AD,不,NUMR,мало
237,VA,VA,VA,VA,VA,VA,VA,VA,VA,VA,VA,多,NUMR,мало
238,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,，,PUNCT,","
239,AD,AD,AD,AD,AD,AD,VA,VA,AD,VA,AD,一,,
240,AD,AD,AD,AD,AD,AD,VA,VA,AD,VA,AD,般,,
241,P,P,P,P,P,P,P,P,P,P,P,在,PREP,в
242,NN,DT,DT,DT,DT,DT,DT,DT,DT,DT,DT,这,ADJF,таких
243,NN,PN,M,DT,M,DT,PN,PN,PN,PN,M,种,ADJF,таких
244,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,情,NOUN,случаях
245,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,况,NOUN,случаях
246,LC,LC,LC,LC,LC,LC,LC,LC,LC,Dg,LC,下,PREP,в
247,VV,VV,VV,VV,VV,VV,VV,VV,VV,Dg,VV,会,VERB,говорится
248,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,说,VERB,говорится
249,PU,PU,PU,PU,PU,PU,PU,PU,PU,k,PU,：,PUNCT,","
250,PU,PU,PU,PU,PU,PU,PU,PU,PU,k,PU,“,,
251,AD,AD,AD,AD,VV,AD,AD,AD,VV,AD,PN,都,PRCL,все
252,VC,VV,VC,VC,VC,VC,VC,VC,VC,VC,VC,是,,
253,NN,NN,NN,PN,PN,NN,PN,PN,NN,PN,NN,自,ADJF,свои
254,NN,NN,NN,PN,PN,NN,PN,PN,NN,PN,NN,己,ADJF,свои
255,NN,NN,NN,NN,DEG,NN,PN,NN,NN,NN,NN,人,ADJF,свои
256,PU,PU,PU,PU,PU,PU,PU,PU,PU,AD,PU,。,,
257,VV,PU,PU,PU,PU,PU,PU,PU,PU,AD,PU,”,,
258,VV,VV,AD,VV,AD,AD,VV,VV,VV,VV,AD,还,PRCL,да
259,VE,VE,VE,VV,VE,AD,VE,VE,VE,VV,VE,有,PRCL,да
260,NN,CD,CD,CD,CD,AD,CD,mq,CD,CD,CD,一,,
261,NN,CD,M,M,M,AD,CD,mq,CD,CD,M,个,,
262,NN,NN,VV,VV,NN,VV,VV,VV,VV,VV,VV,当,ADJF,дежурный
263,NN,NN,VV,VV,NN,VV,VV,VV,VV,VV,VV,班,ADJF,дежурный
264,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,的,ADJF,дежурный
265,VV,NN,NN,NN,VV,NN,NN,VV,NN,VV,NN,告,NOUN,стукач
266,VV,NN,NN,NN,VV,NN,NN,VV,NN,VV,NN,密,NOUN,стукач
267,NN,NN,NN,NN,DEG,NN,NN,VV,NN,k,NN,者,NOUN,стукач
268,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,，,PUNCT,","
269,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,兼,NOUN,совместительству
270,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,职,NOUN,совместительству
271,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,的,NOUN,совместительству
272,VV,NN,NN,JJ,NN,NN,JJ,NN,NN,NN,NN,总,NOUN,завхоз
273,VV,NN,NN,JJ,NN,NN,JJ,NN,NN,NN,NN,务,NOUN,завхоз
274,NN,NN,NN,NN,NN,NN,JJ,NN,NN,NN,NN,主,NOUN,завхоз
275,NN,NN,NN,NN,NN,NN,JJ,NN,NN,NN,NN,任,NOUN,завхоз
276,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,。,PUNCT,.
277,NN,AD,AD,AD,AD,AD,AD,AD,AD,AD,AD,原,VERB,оказалось
278,NN,AD,AD,AD,AD,AD,AD,AD,AD,AD,AD,来,VERB,оказалось
279,AD,VV,AD,VV,AD,AD,VV,VC,VV,VV,AD,正,,
280,VC,VV,VC,VV,VC,AD,VC,VC,VC,VC,VC,是,VERB,было
281,VV,PN,PN,DT,PN,VV,PN,PN,PN,PN,PN,这,CONJ,так
282,VV,PN,PN,DT,PN,VV,PN,PN,PN,PN,PN,样,CONJ,так
283,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,。,PUNCT,:
284,NN,NN,JJ,NN,JJ,AD,NN,NN,NN,h,JJ,浅,ADJF,белокурый
285,NN,NN,JJ,NN,JJ,AD,NN,NN,NN,h,JJ,色,ADJF,белокурый
286,CD,NN,NN,NN,VV,VV,VV,NN,NN,NN,NN,卷,ADJF,белокурый
287,CD,NN,NN,NN,VV,VV,VV,NN,NN,NN,NN,发,ADJF,белокурый
288,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,的,ADJF,белокурый
289,NN,NN,NN,NN,JJ,JJ,NN,NN,NN,NN,JJ,年,ADJF,молодой
290,NN,NN,NN,NN,JJ,JJ,NN,NN,NN,NN,JJ,轻,ADJF,молодой
291,NN,NN,NN,NN,DEG,NN,NN,NN,NN,NN,NN,人,NOUN,человек
292,AD,AD,AD,AD,AD,AD,AD,AD,AD,AD,AD,立,ADVB,тотчас
293,AD,AD,AD,AD,AD,AD,AD,AD,AD,AD,AD,即,ADVB,тотчас
294,VV,AD,AD,AD,AD,AD,AD,VA,AD,AD,AD,异,ADJF,необыкновенною
295,AD,AD,AD,AD,AD,AD,AD,VA,AD,AD,AD,常,ADJF,необыкновенною
296,VA,VA,VA,VA,VA,VA,VA,VA,VA,VA,VA,急,NOUN,поспешностью
297,VA,VA,VA,VA,VA,VA,VA,VA,VA,VA,VA,促,NOUN,поспешностью
298,DEV,DEV,DEV,DEV,DEV,DEV,DEV,DEV,DEV,DEV,DEV,地,PREP,с
299,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,承,VERB,признался
300,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,认,VERB,признался
301,AS,AS,AS,AS,AS,AS,AS,AS,AS,DEG,AS,了,VERB,признался
302,VV,DT,DT,DT,DT,DT,DT,DT,DT,DT,DT,这,NPRO,этом
303,CD,CD,CD,CD,CD,CD,CD,mq,PN,CD,CD,一,NPRO,этом
304,VV,CD,M,M,M,M,CD,mq,PN,CD,M,点,NPRO,этом
305,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,。,PUNCT,.
