,Unnamed: 0,ckiptagger,pkuseg,fastHan,PyNLPIR,stanza,spacy,ltp,jiagu,lac,snownlp,target,char,pymorphy,rus
78,78,AD,VV,VV,VV,AD,VV,VV,VV,VV,VV,VV,去,,
79,79,AD,VV,AD,AD,AD,AD,AD,AD,AD,AD,AD,就,,
80,80,AD,DEG,VV,DER,VV,VV,AD,VV,VV,VV,VV,得,,
81,81,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,爬,VV,залезали
82,82,NN,NN,JJ,NN,JJ,JJ,VV,JJ,NN,NR,JJ,单,JJ,лестнице
83,83,NN,NN,NN,NN,NN,NN,VV,NN,NN,NR,NN,梯,NN,лестнице
84,84,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,。,PU,","
85,85,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,洛,NR,лошкаревым
86,86,NR,NR,NR,NR,NR,NR,NR,CD,NR,NR,NR,什,NR,лошкаревым
87,87,NR,NR,NR,NR,NR,NR,NR,NN,NR,NR,NR,卡,NR,лошкаревым
88,88,NR,NR,NR,NR,NR,NR,NR,VV,NR,NR,NR,列,NR,лошкаревым
89,89,NR,NR,NR,NR,NR,NR,NR,NN,NR,NR,NR,夫,NR,лошкаревым
90,90,NR,P,P,P,P,P,P,P,NN,P,P,从,P,после
91,91,NR,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,军,NN,госпиталя
92,92,NR,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,队,NN,госпиталя
93,93,NR,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,医,NN,госпиталя
94,94,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,院,NN,госпиталя
95,95,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,回,,
96,96,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,来,,
97,97,DEG,LC,LC,LC,LC,LC,LC,NT,LC,LC,LC,之,LC,после
98,98,NN,LC,LC,LC,LC,LC,LC,NT,LC,LC,LC,后,LC,после
99,99,BA,BA,BA,BA,BA,BA,BA,BA,BA,BA,BA,把,,
100,100,NN,DT,DT,DT,DT,DT,DT,DT,DT,NR,DT,这,,
101,101,NN,NN,NN,NN,NN,AD,NN,NN,NN,NR,NN,梯,,
102,102,NN,NN,NN,NN,NN,AD,NN,NN,NN,NN,NN,子,,
103,103,NN,VV,VV,P,VV,VV,VV,P,DEG,VV,VV,给,VV,укрепленной
104,104,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,加,VV,укрепленной
105,105,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,固,VV,укрепленной
106,106,AS,AS,AS,AS,AS,AS,AS,AS,AS,AS,AS,了,PRTF,укрепленной
107,107,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,。,PU,.
108,108,NN,LC,NN,LC,NN,NN,LC,NN,NN,LC,NN,脚,NN,ногами
109,109,LC,LC,LC,LC,NN,NN,LC,NN,LC,LC,LC,下,LC,под
110,110,DEG,DEG,DEG,DEG,DEG,DEG,DEG,DEG,DEG,DEG,DEG,的,,
111,111,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,路,NN,дорога
112,112,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,面,,
113,113,AD,AD,AD,AD,AD,AD,AD,VA,AD,AD,AD,微,AD,слабо
114,114,AD,AD,AD,AD,AD,AD,AD,VA,AD,AD,AD,微,AD,слабо
115,115,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,发,VV,светилась
116,116,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,亮,VV,светилась
117,117,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,。,PU,.
118,118,VV,DT,DT,DT,DT,DT,DT,DT,DT,DT,DT,这,DT,та
119,119,CD,NN,CD,CD,NN,CD,PN,NN,NN,NN,CD,部,NOUN,часть
120,120,CD,NN,CD,CD,NN,CD,PN,NN,NN,NN,CD,分,NOUN,часть
121,121,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,城,NN,пригорода
122,122,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,郊,NN,пригорода
123,123,VV,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,当,NT,тогда
124,124,VV,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,时,NT,тогда
125,125,VV,AD,AD,AD,AD,AD,AD,AD,AD,AD,AD,还,,
126,126,AD,AD,AD,AD,AD,AD,AD,AD,AD,AD,AD,很,,
127,127,VA,VA,VA,VA,VA,VA,VA,VA,VA,VA,VA,偏,ADJF,глухим
128,128,VA,VA,VA,VA,VA,VA,VA,VA,VA,VA,VA,僻,ADJF,глухим
129,129,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,，,PU,","
130,130,VV,AD,VE,VV,VE,VE,VE,VE,VE,VV,VE,没,PRCL,не
131,131,VE,AD,VE,VV,VE,VE,VE,VE,VE,VV,VE,有,VE,застроенным
132,132,CD,VA,CD,DT,CD,CD,PN,PN,PN,PN,CD,多,PRTF,застроенным
133,133,CD,VA,CD,DT,DEG,CD,PN,PN,PN,PN,CD,少,PRTF,застроенным
134,134,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,房,PRTF,застроенным
135,135,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,屋,PRTF,застроенным
136,136,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,，,CONJ,и
137,137,CD,VV,AD,M,NN,AD,VV,NN,NN,AD,AD,遍,,
138,138,NN,VV,AD,NN,NN,AD,VV,NN,NN,AD,AD,地,,
139,139,VC,VV,VC,VC,VC,VC,VC,VC,VC,VC,VC,是,,
140,140,NN,NN,NN,NN,NN,NN,NN,NN,NN,SP,NN,杂,ADJF,сорным
141,141,NN,NN,NN,NN,NN,NN,NN,NN,NN,SP,NN,草,ADJF,сорным
142,142,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,。,PU,.
143,143,PN,PN,PN,PN,PN,PN,PN,PN,PN,PN,PN,她,PN,ее
144,144,DEG,DEG,DEG,DEG,DEG,DEG,DEG,DEG,DEG,DEG,DEG,的,NPRO,ее
145,145,NN,NN,NN,NN,NN,NN,NN,NN,NN,NR,NN,瞳,NN,зрачки
146,146,NN,NN,NN,NN,NN,NN,NN,NN,NN,NR,NN,孔,NN,зрачки
147,147,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,睁,PRTS,расширены
148,148,DER,DER,DER,DER,VV,DER,DER,DER,DER,DER,DER,得,PRTS,расширены
149,149,NN,PN,AD,DT,AD,AD,PN,PN,AD,PN,AD,这,CONJ,так
150,150,NN,PN,AD,DT,AD,AD,PN,PN,AD,PN,AD,么,CONJ,так
151,151,VA,VA,VA,VA,VA,VA,VA,VA,VA,VA,VA,大,VA,расширены
152,152,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,，,PU,","
153,153,VA,AD,AD,AD,AD,AD,AD,AD,AD,AD,AD,几,AD,почти
154,154,VA,AD,AD,AD,AD,AD,AD,AD,AD,AD,AD,乎,AD,почти
155,155,CC,P,P,CC,P,P,P,AD,P,AD,P,和,P,с
156,156,NN,NN,JJ,NN,JJ,JJ,NN,NN,NN,NN,JJ,黑,JJ,черными
157,157,NN,NN,JJ,NN,JJ,JJ,NN,NN,NN,NN,JJ,色,JJ,черными
158,158,DEG,DEG,DEG,DEG,DEG,DEG,DEG,DEG,DEG,DEG,DEG,的,ADJF,черными
159,159,NN,NN,NN,NN,NN,NN,NN,NN,NN,CD,NN,虹,NN,радужки
160,160,NN,NN,NN,NN,NN,NN,NN,NN,NN,CD,NN,膜,NN,радужки
161,161,NN,VV,NN,M,DEG,NN,NN,NN,NN,M,NN,圈,NN,ободками
162,162,NN,VV,VV,VV,VV,NN,NN,VV,VV,VV,VV,合,VV,сошлись
163,163,VA,P,AD,P,VV,AD,P,VV,VV,P,AD,在,VERB,сошлись
164,164,VA,NN,AD,NN,NN,AD,NN,VV,VV,NN,AD,一,VERB,сошлись
165,165,VA,NN,AD,NN,NN,AD,NN,VV,VV,NN,AD,起,VERB,сошлись
166,166,SP,SP,SP,SP,SP,SP,SP,SP,SP,SP,SP,了,VERB,сошлись
167,167,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,，,PU,","
168,168,CC,CC,CC,CC,AD,AD,CC,CC,CC,CC,CC,而,CC,и
169,169,CC,CC,CC,CC,AD,AD,CC,CC,CC,CC,CC,且,CC,и
170,170,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,眼,NN,глаза
171,171,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,睛,NN,глаза
172,172,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,显,VV,казались
173,173,DEG,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,得,VV,казались
174,174,AD,AD,AD,AD,AD,AD,AD,VC,VV,AD,AD,不,PRCL,не
175,175,VC,AD,VC,VC,VC,AD,AD,VC,VC,VC,VC,是,PRCL,не
176,176,NN,NN,JJ,NN,JJ,VV,NN,NN,NN,NN,JJ,灰,JJ,серыми
177,177,NN,NN,JJ,NN,JJ,VV,NN,NN,NN,NN,JJ,色,JJ,серыми
178,178,SP,DEG,DEG,DEG,DEG,DEG,DEG,DEG,DEG,DEG,DEG,的,ADJF,серыми
179,179,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,，,PU,","
180,180,CC,CC,CC,CC,VV,AD,CC,VC,CC,CC,CC,而,CC,а
181,181,AD,AD,VC,AD,VC,AD,AD,VC,AD,AD,VC,是,CONJ,а
182,182,NN,NN,JJ,NN,JJ,JJ,NN,NN,NN,NN,JJ,黑,JJ,черными
183,183,NN,NN,JJ,NN,JJ,JJ,NN,NN,NN,NN,JJ,色,JJ,черными
184,184,SP,DEG,DEG,DEG,DEG,DEG,DEG,DEG,DEG,DEG,DEG,的,ADJF,черными
185,185,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,。,PU,.
186,186,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,将,NN,генерал
187,187,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,军,NN,генерал
188,188,VV,VA,VV,NN,VV,VV,NN,VV,VV,NN,VV,气,VV,обозлился
189,189,VV,VA,VV,VA,VV,VV,NN,VV,VV,VA,VV,坏,VV,обозлился
190,190,AS,AS,AS,AS,AS,AS,AS,AS,AS,AS,AS,了,AS,обозлился
191,191,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,，,PU,","
192,192,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,内,NN,душе
193,193,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,心,NN,душе
194,194,VA,CD,CD,CD,CD,CD,CD,AD,CD,CD,CD,一,,
195,195,VA,M,M,M,M,M,M,AD,CD,M,M,种,,
196,196,VA,VA,VA,VA,VA,VA,VA,VA,VA,VA,VA,不,ADJF,дурное
197,197,VA,VA,VA,VA,VA,VA,VA,VA,VA,VA,VA,祥,ADJF,дурное
198,198,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,的,ADJF,дурное
199,199,NN,NN,NN,NN,NN,NN,VV,VV,NN,NN,NN,预,NN,предчувствие
200,200,NN,NN,NN,NN,NN,NN,VV,VV,NN,NN,NN,感,NN,предчувствие
201,201,NN,AD,AD,AD,AD,AD,AD,AD,AD,AD,AD,随,,
202,202,VV,AD,AD,AD,AD,AD,AD,AD,AD,AD,AD,即,,
203,203,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,闪,VV,шевельнувшееся
204,204,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,现,VV,шевельнувшееся
205,205,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,，,PU,","
206,206,NN,NT,AD,NT,NN,NN,NT,NT,NT,NT,AD,瞬,AD,сразу
207,207,NN,NT,AD,NT,NN,NN,NT,NT,NT,NT,AD,间,AD,сразу
208,208,AD,AD,AD,AD,AD,AD,AD,AD,AD,AD,AD,又,,
209,209,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,消,VV,растаяло
210,210,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,逝,VV,растаяло
211,211,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,。,PU,.
212,212,NR,NR,NR,NR,NR,NR,NR,NR,NR,Dg,NR,玛,NR,маша
213,213,NR,NR,NR,NR,NR,NR,NR,NR,NR,Dg,NR,莎,NR,маша
214,214,VC,VV,VC,VC,VC,VC,VC,VC,VC,VC,VC,是,,
215,215,NN,NN,NN,NN,NN,NN,NN,NT,NN,NN,NN,年,ADJF,юнейшая
216,216,NN,NN,NN,NN,NN,NN,NN,NT,NN,NN,NN,纪,ADJF,юнейшая
217,217,AD,AD,AD,AD,VA,AD,AD,VA,VA,AD,AD,最,ADJF,юнейшая
218,218,VA,VA,VA,VA,VA,VA,VA,VA,VA,VA,VA,小,ADJF,юнейшая
219,219,SP,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,的,,
220,220,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,，,PU,","
221,221,AD,AD,AD,AD,AD,AD,AD,AD,AD,AD,AD,所,CONJ,как
222,222,AD,AD,AD,AD,AD,AD,AD,AD,AD,AD,AD,以,CONJ,как
223,223,OD,OD,OD,OD,CD,CD,OD,mq,OD,OD,OD,第,ADJF,первая
224,224,OD,OD,OD,OD,CD,CD,OD,mq,OD,OD,OD,一,ADJF,первая
225,225,VV,M,M,M,M,M,M,mq,CD,M,M,个,ADJF,первая
226,226,VV,VV,VV,VV,VV,VV,VV,VV,VV,M,VV,读,VV,читала
227,227,AS,AS,AS,AS,AS,AS,AS,AS,AS,DEG,AS,了,AS,читала
228,228,PN,PN,PN,PN,PN,PN,PN,PN,PN,PN,PN,自,,
229,229,PN,PN,PN,PN,PN,PN,PN,PN,PN,PN,PN,己,,
230,230,DEG,DEG,DEG,DEG,DEG,DEG,DEG,DEG,DEG,DEG,DEG,的,,
231,231,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,诗,,
232,232,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,。,PU,.
233,233,VV,NN,NN,VV,NN,AD,NN,VV,NN,NN,NN,来,,
234,234,NN,NN,NN,NN,NN,AD,NN,NN,NN,NN,NN,人,NN,народу
235,235,NN,AD,AD,CC,AD,AD,AD,AD,AD,AD,AD,并,,
236,236,AD,AD,AD,AD,VA,AD,AD,AD,AD,AD,AD,不,NUMR,мало
237,237,VA,VA,VA,VA,VA,VA,VA,VA,VA,VA,VA,多,NUMR,мало
238,238,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,，,PU,","
239,239,AD,AD,AD,AD,AD,AD,VA,VA,AD,VA,AD,一,,
240,240,AD,AD,AD,AD,AD,AD,VA,VA,AD,VA,AD,般,,
241,241,P,P,P,P,P,P,P,P,P,P,P,在,P,в
242,242,NN,DT,DT,DT,DT,DT,DT,DT,DT,DT,DT,这,DT,таких
243,243,NN,PN,M,DT,M,DT,PN,PN,PN,PN,M,种,ADJF,таких
244,244,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,情,NN,случаях
245,245,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,况,NN,случаях
246,246,LC,LC,LC,LC,LC,LC,LC,LC,LC,Dg,LC,下,LC,в
247,247,VV,VV,VV,VV,VV,VV,VV,VV,VV,Dg,VV,会,VV,говорится
248,248,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,说,VV,говорится
249,249,PU,PU,PU,PU,PU,PU,PU,PU,PU,k,PU,：,PU,","
250,250,PU,PU,PU,PU,PU,PU,PU,PU,PU,k,PU,“,,
251,251,AD,AD,AD,AD,VV,AD,AD,AD,VV,AD,PN,都,PRCL,все
252,252,VC,VV,VC,VC,VC,VC,VC,VC,VC,VC,VC,是,,
253,253,NN,NN,NN,PN,PN,NN,PN,PN,NN,PN,NN,自,ADJF,свои
254,254,NN,NN,NN,PN,PN,NN,PN,PN,NN,PN,NN,己,ADJF,свои
255,255,NN,NN,NN,NN,DEG,NN,PN,NN,NN,NN,NN,人,ADJF,свои
256,256,PU,PU,PU,PU,PU,PU,PU,PU,PU,AD,PU,。,,
257,257,VV,PU,PU,PU,PU,PU,PU,PU,PU,AD,PU,”,,
258,258,VV,VV,AD,VV,AD,AD,VV,VV,VV,VV,AD,还,PRCL,да
259,259,VE,VE,VE,VV,VE,AD,VE,VE,VE,VV,VE,有,PRCL,да
260,260,NN,CD,CD,CD,CD,AD,CD,mq,CD,CD,CD,一,,
261,261,NN,CD,M,M,M,AD,CD,mq,CD,CD,M,个,,
262,262,NN,NN,VV,VV,NN,VV,VV,VV,VV,VV,VV,当,ADJF,дежурный
263,263,NN,NN,VV,VV,NN,VV,VV,VV,VV,VV,VV,班,ADJF,дежурный
264,264,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,的,ADJF,дежурный
265,265,VV,NN,NN,NN,VV,NN,NN,VV,NN,VV,NN,告,NN,стукач
266,266,VV,NN,NN,NN,VV,NN,NN,VV,NN,VV,NN,密,NN,стукач
267,267,NN,NN,NN,NN,DEG,NN,NN,VV,NN,k,NN,者,NN,стукач
268,268,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,，,PU,","
269,269,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,兼,NOUN,совместительству
270,270,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,职,NOUN,совместительству
271,271,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,的,NOUN,совместительству
272,272,VV,NN,NN,JJ,NN,NN,JJ,NN,NN,NN,NN,总,NN,завхоз
273,273,VV,NN,NN,JJ,NN,NN,JJ,NN,NN,NN,NN,务,NN,завхоз
274,274,NN,NN,NN,NN,NN,NN,JJ,NN,NN,NN,NN,主,NN,завхоз
275,275,NN,NN,NN,NN,NN,NN,JJ,NN,NN,NN,NN,任,NN,завхоз
276,276,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,。,PU,.
277,277,NN,AD,AD,AD,AD,AD,AD,AD,AD,AD,AD,原,VERB,оказалось
278,278,NN,AD,AD,AD,AD,AD,AD,AD,AD,AD,AD,来,VERB,оказалось
279,279,AD,VV,AD,VV,AD,AD,VV,VC,VV,VV,AD,正,,
280,280,VC,VV,VC,VV,VC,AD,VC,VC,VC,VC,VC,是,VC,было
281,281,VV,PN,PN,DT,PN,VV,PN,PN,PN,PN,PN,这,CONJ,так
282,282,VV,PN,PN,DT,PN,VV,PN,PN,PN,PN,PN,样,CONJ,так
283,283,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,。,PU,:
284,284,NN,NN,JJ,NN,JJ,AD,NN,NN,NN,h,JJ,浅,JJ,белокурый
285,285,NN,NN,JJ,NN,JJ,AD,NN,NN,NN,h,JJ,色,JJ,белокурый
286,286,CD,NN,NN,NN,VV,VV,VV,NN,NN,NN,NN,卷,ADJF,белокурый
287,287,CD,NN,NN,NN,VV,VV,VV,NN,NN,NN,NN,发,ADJF,белокурый
288,288,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,的,ADJF,белокурый
289,289,NN,NN,NN,NN,JJ,JJ,NN,NN,NN,NN,JJ,年,JJ,молодой
290,290,NN,NN,NN,NN,JJ,JJ,NN,NN,NN,NN,JJ,轻,JJ,молодой
291,291,NN,NN,NN,NN,DEG,NN,NN,NN,NN,NN,NN,人,NN,человек
292,292,AD,AD,AD,AD,AD,AD,AD,AD,AD,AD,AD,立,AD,тотчас
293,293,AD,AD,AD,AD,AD,AD,AD,AD,AD,AD,AD,即,AD,тотчас
294,294,VV,AD,AD,AD,AD,AD,AD,VA,AD,AD,AD,异,ADJF,необыкновенною
295,295,AD,AD,AD,AD,AD,AD,AD,VA,AD,AD,AD,常,ADJF,необыкновенною
296,296,VA,VA,VA,VA,VA,VA,VA,VA,VA,VA,VA,急,NOUN,поспешностью
297,297,VA,VA,VA,VA,VA,VA,VA,VA,VA,VA,VA,促,NOUN,поспешностью
